o_iti_it bp fp     mu             rho                  LogCost              OptError             Error Reg   Step  Upt
   1   0  0 11 1.0000          1.0000                  -3.3736             4611.3582        31211.5960   0 0.0010    0
   2   1  0  0 1.0000          1.0000                -125.4978              227.7820        30723.9148   1 0.0156    1
   3   2  0  0 1.0000          1.0000                -284.0338              180.2775        29763.7925   1 0.0312    2
   4   3  0  0 1.0000          1.0000                -473.8791              152.6440        27903.5554   1 0.0625    3
   5   4  0  0 1.0000          1.0000                -685.0492              140.1172        24415.6110   1 0.1250    4
   6   5  0  0 1.0000          1.0000                -803.5361              122.9264        21363.6597   1 0.1250    5
   7   6  0  0 1.0000          1.0000                -881.9955              142.8581        18693.2022   1 0.1250    6
   8   7  0  0 1.0000          1.0000                -988.5026              186.4719        14019.9017   1 0.2500    7
   9   8  0  0 1.0000          1.0000               -1052.3195              390.0771        10514.9263   1 0.2500    8
  10   9  0  0 1.0000          1.0000               -1133.4533              698.4697         5257.4632   1 0.5000    9
  11  10  0  0 1.0000          1.0000               -1199.6810             1168.1410            0.0044   1 1.0000   10
  12  11  0  0 1.0000          1.0000               -1199.7051                0.9855            0.0001   1 1.0000   11
  13   1  0  0 0.2000         10.0000                -192.7395               27.3284            0.0001   0 0.0156   12
  14   2  0  0 0.2000         10.0000                -192.9907               26.9014            0.0001   0 0.0156   13
  15   3  0  0 0.2000         10.0000                -193.2369               26.4811            0.0001   0 0.0156   14
  16   4  0  0 0.2000         10.0000                -193.4783               26.0673            0.0001   0 0.0156   15
  17   5  0  0 0.2000         10.0000                -193.5965               25.6600            0.0001   0 0.0078   16
  18   6  0  0 0.2000         10.0000                -193.6550               25.4595            0.0001   0 0.0039   17
  19   7  0  0 0.2000         10.0000                -193.6842               25.3601            0.0001   0 0.0020   18
  20   8  0  0 0.2000         10.0000                -193.7132               25.3105            0.0001   0 0.0020   19
  21   9  0  0 0.2000         10.0000                -193.7422               25.2611            0.0001   0 0.0020   20
  22  10  0  0 0.2000         10.0000                -193.7711               25.2118            0.0001   0 0.0020   21
  23  10  0  1 0.2000         10.0000                -193.7711               25.1625            0.0001   0 0.0010   21
  24  11  0  0 0.2000         10.0000                -193.8320               25.1625            0.0001   1 0.0156   22
  25  12  0  0 0.2000         10.0000                -193.8919               24.7694            0.0001   1 0.0156   23
  26  13  0  0 0.2000         10.0000                -193.9506               24.3823            0.0001   1 0.0156   24
  27  14  0  0 0.2000         10.0000                -194.0660               24.0014            0.0001   1 0.0312   25
  28  15  0  0 0.2000         10.0000                -194.1216               23.2513            0.0001   1 0.0156   26
  29  16  0  0 0.2000         10.0000                -194.1762               22.8880            0.0001   1 0.0156   27
  30  17  0  0 0.2000         10.0000                -194.2835               22.5304            0.0001   1 0.0312   28
  31  18  0  0 0.2000         10.0000                -194.3352               21.8263            0.0001   1 0.0156   29
  32  19  0  0 0.2000         10.0000                -194.4369               21.4853            0.0001   1 0.0312   30
  33  20  0  0 0.2000         10.0000                -194.5349               20.8139            0.0001   1 0.0312   31
  34  21  0  0 0.2000         10.0000                -194.6296               20.1634            0.0001   1 0.0312   32
  35  22  0  0 0.2000         10.0000                -194.7209               19.5333            0.0001   1 0.0312   33
  36  23  0  0 0.2000         10.0000                -194.8091               18.9229            0.0001   1 0.0312   34
  37  24  0  0 0.2000         10.0000                -194.8942               18.3316            0.0001   1 0.0312   35
  38  25  0  0 0.2000         10.0000                -194.9765               17.7587            0.0001   1 0.0312   36
  39  26  0  0 0.2000         10.0000                -195.0559               17.2037            0.0001   1 0.0312   37
  40  27  0  0 0.2000         10.0000                -195.1327               16.6661            0.0001   1 0.0312   38
  41  28  0  0 0.2000         10.0000                -195.2811               16.1453            0.0001   1 0.0625   39
  42  29  0  0 0.2000         10.0000                -195.3503               15.1362            0.0001   1 0.0312   40
  43  30  0  0 0.2000         10.0000                -195.4843               14.6632            0.0001   1 0.0625   41
  44  31  0  0 0.2000         10.0000                -195.5469               13.7468            0.0001   1 0.0312   42
  45  32  0  0 0.2000         10.0000                -195.6681               13.3172            0.0001   1 0.0625   43
  46  33  0  0 0.2000         10.0000                -195.7815               12.4849            0.0001   1 0.0625   44
  47  34  0  0 0.2000         10.0000                -195.8878               11.7046            0.0001   1 0.0625   45
  48  35  0  0 0.2000         10.0000                -195.9876               10.9730            0.0001   1 0.0625   46
  49  36  0  0 0.2000         10.0000                -196.0812               10.2872            0.0001   1 0.0625   47
  50  37  0  0 0.2000         10.0000                -196.2570                9.6443            0.0001   1 0.1250   48
  51  38  0  0 0.2000         10.0000                -196.4124                8.4387            0.0001   1 0.1250   49
  52  39  0  0 0.2000         10.0000                -196.5504                7.3839            0.0001   1 0.1250   50
  53  40  0  0 0.2000         10.0000                -196.6737                6.4609            0.0001   1 0.1250   51
